totalcountprotected,totalCountInsurance,totalPriceInsurance
0.58,0.578,0.005190311418685121
0.688,0.47,0.002127659574468085
0.58,0.578,0.010380622837370242
0.684,0.474,0.008438818565400843
0.582,0.578,0.005190311418685121
0.68,0.482,0.01037344398340249
0.578,0.584,0.015410958904109588
0.68,0.486,0.01646090534979424
0.578,0.588,0.01020408163265306
0.674,0.498,0.0
0.576,0.596,0.010067114093959731
0.658,0.514,0.0038910505836575876
0.57,0.602,0.014950166112956811
0.652,0.52,0.023076923076923078
0.57,0.602,0.02823920265780731
0.644,0.528,0.03409090909090909
0.572,0.602,0.09136212624584718
0.626,0.55,0.10545454545454545
0.578,0.608,0.05756578947368421
0.618,0.576,0.109375
0.58,0.618,0.16828478964401294
0.622,0.58,0.14482758620689656
0.598,0.612,0.017973856209150325
0.628,0.584,0.02910958904109589
0.588,0.624,0.014423076923076924
0.61,0.604,0.009933774834437087
0.588,0.626,0.009584664536741214
0.594,0.62,0.008064516129032258
0.588,0.626,0.020766773162939296
0.592,0.622,0.00482315112540193
0.588,0.626,0.004792332268370607
0.588,0.626,0.004792332268370607
0.584,0.63,0.009523809523809525
0.584,0.63,0.012698412698412698
0.58,0.634,0.015772870662460567
0.582,0.632,0.02689873417721519
0.58,0.634,0.033123028391167195
0.582,0.632,0.02531645569620253
0.582,0.634,0.011041009463722398
0.58,0.636,0.007861635220125786
0.582,0.634,0.014195583596214511
0.578,0.638,0.004702194357366771
0.582,0.634,0.012618296529968454
0.578,0.638,0.018808777429467086
0.582,0.634,0.022082018927444796
0.578,0.638,0.05329153605015674
0.582,0.634,0.0694006309148265
0.578,0.638,0.10344827586206896
0.584,0.634,0.18769716088328076
0.578,0.64,0.0515625
0.584,0.634,0.0473186119873817
0.576,0.642,0.0778816199376947
0.584,0.634,0.09936908517350158
0.576,0.642,0.1838006230529595
0.586,0.634,0.20189274447949526
0.576,0.644,0.32608695652173914
0.588,0.634,0.1056782334384858
0.584,0.64,0.1671875
0.588,0.636,0.012578616352201259
0.586,0.638,0.023510971786833857
0.588,0.636,0.0330188679245283
0.586,0.638,0.04231974921630094
0.588,0.636,0.055031446540880505
0.582,0.642,0.0514018691588785
0.588,0.636,0.08647798742138364
0.582,0.642,0.010903426791277258
0.588,0.636,0.01729559748427673
0.582,0.642,0.01557632398753894
0.586,0.638,0.004702194357366771
0.582,0.642,0.020249221183800622
0.586,0.638,0.02821316614420063
0.582,0.642,0.006230529595015576
0.586,0.638,0.006269592476489028
0.578,0.646,0.01238390092879257
0.586,0.638,0.009404388714733543
0.578,0.646,0.007739938080495356
0.586,0.638,0.014106583072100314
0.578,0.646,0.0046439628482972135
0.586,0.638,0.01567398119122257
0.578,0.646,0.0046439628482972135
0.586,0.638,0.003134796238244514
0.578,0.646,0.007739938080495356
0.586,0.638,0.017241379310344827
0.578,0.646,0.01393188854489164
0.586,0.638,0.014106583072100314
0.578,0.646,0.032507739938080496
0.584,0.64,0.0203125
0.576,0.648,0.035493827160493825
0.584,0.64,0.0109375
0.576,0.648,0.010802469135802469
0.584,0.64,0.00625
0.576,0.648,0.004629629629629629
0.584,0.64,0.009375
0.576,0.648,0.015432098765432098
0.584,0.64,0.0109375
0.576,0.648,0.018518518518518517
0.584,0.64,0.0375
0.576,0.648,0.033950617283950615
0.584,0.64,0.03125
0.576,0.648,0.038580246913580245
0.584,0.64,0.028125
0.576,0.648,0.007716049382716049
0.584,0.64,0.0015625
0.576,0.648,0.004629629629629629
0.584,0.64,0.009375
0.576,0.648,0.018518518518518517
0.584,0.64,0.01875
0.576,0.648,0.010802469135802469
0.584,0.64,0.0171875
0.576,0.648,0.009259259259259259
0.584,0.64,0.0078125
0.576,0.648,0.007716049382716049
0.582,0.642,0.012461059190031152
0.576,0.648,0.024691358024691357
0.582,0.642,0.03426791277258567
0.576,0.648,0.08024691358024691
0.58,0.644,0.15683229813664595
0.576,0.648,0.018518518518518517
0.582,0.642,0.006230529595015576
0.576,0.648,0.012345679012345678
0.582,0.642,0.014018691588785047
0.576,0.648,0.0030864197530864196
0.58,0.644,0.010869565217391304
0.576,0.648,0.010802469135802469
0.58,0.644,0.003105590062111801
0.576,0.648,0.006172839506172839
0.58,0.644,0.006211180124223602
0.576,0.648,0.006172839506172839
0.578,0.646,0.0046439628482972135
0.576,0.648,0.006172839506172839
0.578,0.646,0.010835913312693499
0.576,0.648,0.010802469135802469
0.578,0.646,0.007739938080495356
0.576,0.648,0.016975308641975308
0.578,0.646,0.020123839009287926
0.576,0.648,0.006172839506172839
0.578,0.646,0.017027863777089782
0.576,0.648,0.009259259259259259
0.578,0.646,0.015479876160990712
0.576,0.648,0.026234567901234566
0.578,0.646,0.009287925696594427
0.576,0.648,0.004629629629629629
0.576,0.648,0.013888888888888888
0.576,0.648,0.0030864197530864196
0.576,0.648,0.004629629629629629
0.576,0.648,0.010802469135802469
0.574,0.65,0.007692307692307693
0.576,0.648,0.0015432098765432098
0.574,0.65,0.004615384615384616
0.576,0.648,0.006172839506172839
0.574,0.65,0.0015384615384615385
0.576,0.648,0.0015432098765432098
0.574,0.65,0.004615384615384616
0.576,0.648,0.010802469135802469
0.574,0.65,0.010769230769230769
0.576,0.648,0.018518518518518517
0.574,0.65,0.033846153846153845
0.574,0.65,0.009230769230769232
0.572,0.652,0.018404907975460124
0.57,0.654,0.019877675840978593
0.566,0.658,0.0121580547112462
0.568,0.656,0.027439024390243903
0.566,0.658,0.025835866261398176
0.568,0.656,0.007621951219512195
0.566,0.658,0.0060790273556231
0.566,0.658,0.00303951367781155
0.56,0.664,0.007530120481927711
0.554,0.67,0.01791044776119403
0.548,0.676,0.013313609467455622
0.546,0.678,0.022123893805309734
0.54,0.684,0.024853801169590642
0.542,0.682,0.020527859237536656
0.54,0.684,0.023391812865497075
0.54,0.684,0.005847953216374269
0.534,0.69,0.013043478260869565
0.526,0.698,0.012893982808022923
0.52,0.704,0.011363636363636364
0.52,0.704,0.017045454545454544
0.512,0.712,0.007022471910112359
0.51,0.714,0.0028011204481792717
0.5,0.724,0.004143646408839779
0.494,0.73,0.005479452054794521
0.482,0.742,0.008086253369272238
0.474,0.75,0.009333333333333334
0.462,0.762,0.014435695538057743
0.464,0.76,0.018421052631578946
0.458,0.766,0.02610966057441253
0.454,0.77,0.025974025974025976
0.45,0.774,0.05167958656330749
0.452,0.772,0.050518134715025906
0.448,0.776,0.05154639175257732
0.45,0.774,0.02454780361757106
0.448,0.776,0.04768041237113402
0.45,0.774,0.00516795865633075
0.448,0.776,0.001288659793814433
0.45,0.774,0.015503875968992248
0.444,0.78,0.010256410256410256
0.442,0.782,0.0076726342710997444
0.436,0.788,0.01015228426395939
0.428,0.796,0.00628140703517588
0.412,0.812,0.008620689655172414
0.408,0.816,0.007352941176470588
0.396,0.828,0.007246376811594203
0.392,0.832,0.015625
0.386,0.838,0.007159904534606206
0.38,0.844,0.015402843601895734
0.36,0.864,0.034722222222222224
0.358,0.866,0.061200923787528866
0.352,0.872,0.008027522935779817
0.354,0.87,0.009195402298850575
0.352,0.872,0.011467889908256881
0.346,0.878,0.011389521640091117
0.336,0.888,0.012387387387387387
0.326,0.898,0.0022271714922048997
0.32,0.904,0.007743362831858407
0.306,0.918,0.010893246187363835
0.298,0.926,0.01511879049676026
0.294,0.93,0.005376344086021506
0.284,0.94,0.02021276595744681
0.282,0.942,0.022292993630573247
0.276,0.948,0.028481012658227847
0.27,0.954,0.050314465408805034
0.27,0.954,0.04821802935010482
0.27,0.954,0.05450733752620545
0.27,0.954,0.05870020964360587
0.27,0.954,0.014675052410901468
0.27,0.954,0.018867924528301886
0.27,0.954,0.0220125786163522
0.27,0.954,0.05450733752620545
0.27,0.954,0.0660377358490566
0.27,0.954,0.0880503144654088
0.272,0.952,0.16596638655462184
0.27,0.954,0.11844863731656184
0.274,0.95,0.004210526315789474
0.27,0.954,0.0020964360587002098
0.274,0.95,0.003157894736842105
0.27,0.954,0.0020964360587002098
0.274,0.95,0.009473684210526316
0.268,0.956,0.005230125523012552
0.272,0.952,0.0063025210084033615
0.268,0.956,0.008368200836820083
0.272,0.952,0.01365546218487395
0.268,0.956,0.006276150627615063
0.27,0.954,0.009433962264150943
0.264,0.96,0.004166666666666667
0.26,0.964,0.008298755186721992
0.258,0.966,0.004140786749482402
0.25,0.974,0.01026694045174538
0.246,0.978,0.005112474437627812
0.246,0.978,0.005112474437627812
0.236,0.988,0.011133603238866396
0.236,0.988,0.012145748987854251
0.23,0.994,0.009054325955734407
